generation;sosa;id;prenom;nom;sexe;source;nb_infos;nb_evenements;nb_sources;nb_parents;forme_parents;parents_mariage_date;parents_mariage_lieu;profession;sous_titre;titre_noblesse;note_titre_noblesse;nb_notes;nb_notes_longues;infos;nb_err;GeneanetSpider 1.0.26 18/04/2025 à 01:10
30;994504381;@I00553@;Bilielde;D'ARLES;F;https://gw.geneanet.org/oollierbolvin?lang=fr&p=bilielde&n=d+arles;2;0;1;2;forme2;;"";"";"";"";"";0;0;"- Née en 940
- Décédée en 993, à l'âge de 53 ans";0;
29;497251686;@I00568@;Elzéar ( du Caylar );D' UZES;M;https://gw.geneanet.org/oollierbolvin?lang=fr&p=elzear+du+caylar&n=d+uzes;1;0;1;2;forme2;;"";"";"";"";"";0;0;"- Décédé après 1125";0;
29;497251706;@I00569@;Guillaume 4;DE TOULOUSE;M;https://gw.geneanet.org/oollierbolvin?lang=fr&p=guillaume+4&n=de+toulouse;2;0;1;0;;;"";"";"";"";"";0;0;"- Né en 1040
- Décédé en 1094, à l'âge de 54 ans";0;
29;497251707;@I00570@;Emma;DE MORTAIN;F;https://gw.geneanet.org/oollierbolvin?lang=fr&p=emma&n=de+mortain;1;0;1;0;;;"";"";"";"";"";0;0;"- Décédée";0;
30;994502864;@I00571@;Boson 1;DE TURENNE;M;https://gw.geneanet.org/oollierbolvin?lang=fr&p=boson+1&n=de+turenne;2;0;1;0;;;"";"";"";"";"";0;0;"- Né vers 1030
- Décédé en 1092, à l'âge d'environ 62 ans";0;
30;994502865;@I00572@;Gerberge;DE TERRASSON;F;https://gw.geneanet.org/oollierbolvin?lang=fr&p=gerberge&n=de+terrasson;2;0;1;0;;;"";"";"";"";"";0;0;"- Née en 1045
- Décédée en 1103, à l'âge de 58 ans";0;
30;994502866;@I00573@;Geoffroy;DU PERCHE;M;https://gw.geneanet.org/oollierbolvin?lang=fr&p=geoffroy&n=du+perche;3;0;1;0;;;"";"Comte du Perche";"";"";"";0;0;"- Né en 1054
- Décédé en 1100, à l'âge de 46 ans
- Comte du Perche";0;
30;994502867;@I00574@;Béatrice;DE MONTDIDIER;F;https://gw.geneanet.org/oollierbolvin?lang=fr&p=beatrice&n=de+montdidier;2;0;1;0;;;"";"";"";"";"";0;0;"- Née en 1054
- Décédée en 1113, à l'âge de 59 ans";0;
29;497251687;@I00566@;Engelrade;DE POSQUIERES;F;https://gw.geneanet.org/oollierbolvin?lang=fr&p=engelrade&n=de+posquieres;2;0;1;2;forme2;;"";"";"";"";"";0;0;"- Née en 1050
- Décédée";0;
29;497251680;@I00567@;Pons II;DE TOULOUSE;M;https://gw.geneanet.org/oollierbolvin?lang=fr&p=pons+ii&n=de+toulouse;3;0;1;2;forme2;1040;"";"Comte de Toulouse, d'Albi, d'Agen, du Quercy";"";"";"";0;0;"- Né vers 1000
- Décédé en 1060 - Toulouse, 31555, Haute Garonne, Midi-Pyrénées, France, à l'âge d'environ 60 ans
- Comte de Toulouse, d'Albi, d'Agen, du Quercy";0;
